Test Case ID,API,FR,Nhom,Tieu de test case,Ky thuat,Tham so,Phan vung / Gia tri bien,SEC lien quan,Method,Endpoint,Du lieu gui len,Ket qua ky vong (theo dac ta),Nguon (AI/HUMAN),Nhan audit,Ly do audit / hieu chinh,Ket qua chay that (Newman),PASS/FAIL,Ma loi
TC-A3-011,API-3,FR-16,02 - Domain Partition: name,"Thieu truong name -> bao loi, khong ghi",domain-partition,name,Thieu truong bat buoc,,POST,/api/admin/import-products,"{""products"": [{""price"": 10000, ""category_id"": 1}]}",inserted = 0 va co thong bao loi neu ro so dong.,AI,VALID,Nhanh da duoc SUT cai dat (kiem tra !row.name).,4 assertion deu dat,PASS,
TC-A3-012,API-3,FR-16,02 - Domain Partition: name,name = null -> bao loi,domain-partition,name,Gia tri null,,POST,/api/admin/import-products,"{""products"": [{""name"": null, ""price"": 10000, ""category_id"": 1}]}",inserted = 0.,AI,VALID,Phan vung null.,3 assertion deu dat,PASS,
TC-A3-013,API-3,FR-16,02 - Domain Partition: name,name chi gom khoang trang -> phai bao loi (khong duoc coi la hop le),domain-partition,name,Chuoi trang (whitespace-only),,POST,/api/admin/import-products,"{""products"": [{""name"": ""     "", ""price"": 10000, ""category_id"": 1}]}",Bao loi va khong ghi - ten sau khi trim la rong.,HUMAN,VALID,"Case do SV tu them. AI sinh 'name rong' va 'thieu name' - ca hai deu bi chan boi phep kiem tra !row.name. Nhung chuoi ' ' la TRUTHY trong JavaScript nen lot qua phep kiem tra do va tao ra san pham khong ten trong danh muc. Day dung la khe ho ma phep kiem tra don gian bo sot, va la dieu AI khong nhin ra vi no chi doc dac ta chu khong nghi den ngu nghia truthy.",expected 1 to deeply equal +0 | expected +0 to be at least 1,FAIL,BUG-A3-06
TC-A3-014,API-3,FR-16,02 - Domain Partition: name,name dai dung 255 ky tu (bien tren hop le) -> chap nhan,domain-partition,name,Dung bien tren: 255 ky tu,,POST,/api/admin/import-products,"{""products"": [{""name"": ""N255-23127195-AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA"", ""price"": 10000,...","200 OK, inserted = 1.",AI,VALID,FR-15 quy dinh ten san pham toi da 255 ky tu; FR-16 import cung tao san pham nen ke thua rang buoc do.,4 assertion deu dat,PASS,
TC-A3-015,API-3,FR-16,02 - Domain Partition: name,name dai 256 ky tu (vuot bien) -> bao loi,domain-partition,name,Vuot bien tren: 256 ky tu,,POST,/api/admin/import-products,"{""products"": [{""name"": ""N256-23127195-AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA"", ""price"": 10000...","Bao loi, inserted = 0.",AI,VALID,BVA: max + 1 cua rang buoc 255 ky tu.,expected 1 to deeply equal +0,FAIL,BUG-A3-07
TC-A3-016,API-3,FR-16,02 - Domain Partition: name,name tieng Viet co dau -> luu va doc lai dung (UTF-8),domain-partition,name,Hop le: Unicode tieng Viet,,POST,/api/admin/import-products,"{""products"": [{""name"": ""Điện thoại Xiaomi 23127195"", ""price"": 5000000, ""description"": ""Mô tả tiếng Việt"", ""imageUrl"": """", ""category_id"": 1}]}",200 OK; tim kiem lai phai thay dung ten co dau.,AI,VALID,Ten san pham tieng Viet la truong hop su dung chinh cua he thong.,5 assertion deu dat,PASS,
TC-A3-017,API-3,FR-16,03 - Domain Partition: price,price duong hop le -> chap nhan,domain-partition,price,Hop le: so duong,,POST,/api/admin/import-products,"{""products"": [{""name"": ""IMP-PRICE-OK-23127195"", ""price"": 1, ""category_id"": 1}]}","200 OK, inserted = 1.",AI,VALID,Nhanh hop le cua rang buoc 'price phai la so duong' trong FR-16.,4 assertion deu dat,PASS,
TC-A3-018,API-3,FR-16,03 - Domain Partition: price,price = 0 (bien duoi khong hop le) -> bao loi,domain-partition,price,Dung bien: 0 (khong duong),,POST,/api/admin/import-products,"{""products"": [{""name"": ""IMP-PRICE-ZERO-23127195"", ""price"": 0, ""category_id"": 1}]}","Bao loi, inserted = 0.",AI,VALID,"BVA: FR-16 yeu cau 'so duong', tuc phai > 0; gia tri 0 la bien loai tru.",expected 1 to deeply equal +0 | expected +0 to be at least 1,FAIL,BUG-A3-03
TC-A3-019,API-3,FR-16,03 - Domain Partition: price,price am -> bao loi,domain-partition,price,Gia tri am,,POST,/api/admin/import-products,"{""products"": [{""name"": ""IMP-PRICE-NEG-23127195"", ""price"": -50000, ""category_id"": 1}]}","Bao loi, inserted = 0.",AI,VALID,Vi pham truc tiep FR-16. Gia am co the bi loi dung: khach dat hang va he thong tra tien nguoc lai.,expected 1 to deeply equal +0 | expected +0 to be at least 1,FAIL,BUG-A3-03
TC-A3-020,API-3,FR-16,03 - Domain Partition: price,price la chuoi khong so hoa duoc -> bao loi,domain-partition,price,Sai kieu: chuoi khong so,,POST,/api/admin/import-products,"{""products"": [{""name"": ""IMP-PRICE-STR-23127195"", ""price"": ""muoi nghin dong"", ""category_id"": 1}]}","Bao loi, inserted = 0.",AI,VALID,Truong hop rat thuc te khi import CSV: o Excel bi dinh chu ('10.000 d') se sinh ra chuoi khong so hoa duoc.,expected 1 to deeply equal +0 | expected +0 to be at least 1,FAIL,BUG-A3-04
TC-A3-021,API-3,FR-16,03 - Domain Partition: price,"price la chuoi so ""25000"" -> phai ep kieu tuong minh, luu duoi dang so",domain-partition,price,Sai kieu: chuoi so hoa duoc,,POST,/api/admin/import-products,"{""products"": [{""name"": ""IMP-PRICE-NUMSTR-23127195"", ""price"": ""25000"", ""category_id"": 1}]}","Chap nhan va luu duoi dang SO, hoac tu choi tuong minh - khong duoc luu chuoi vao cot so.",HUMAN,VALID,Case do SV tu them. Moi truong hop parse CSV deu tra ve CHUOI - do la ban chat cua dinh dang CSV. Nen day khong phai truong hop hiem ma la truong hop MAC DINH cua tinh nang nay. Neu API luu thang chuoi vao cot price thi moi phep tinh tong tien phia sau se noi chuoi thay vi cong so. AI bo sot vi no doc api_specification.md thay 'price: 10000' la so va mac dinh client luon gui so.,3 assertion deu dat,PASS,
TC-A3-022,API-3,FR-16,03 - Domain Partition: price,Thieu truong price -> bao loi,domain-partition,price,Thieu truong bat buoc,,POST,/api/admin/import-products,"{""products"": [{""name"": ""IMP-NO-PRICE-23127195"", ""category_id"": 1}]}","Bao loi, inserted = 0.",AI,VALID,FR-16 liet ke price trong header CSV bat buoc.,expected 1 to deeply equal +0,FAIL,BUG-A3-03
TC-A3-023,API-3,FR-16,03 - Domain Partition: price,price = null -> bao loi,domain-partition,price,Gia tri null,,POST,/api/admin/import-products,"{""products"": [{""name"": ""IMP-NULL-PRICE-23127195"", ""price"": null, ""category_id"": 1}]}","Bao loi, inserted = 0.",AI,VALID,Phan vung null.,expected 1 to deeply equal +0,FAIL,BUG-A3-03
TC-A3-024,API-3,FR-16,03 - Domain Partition: price,price cuc lon (1e18) -> khong tran so,domain-partition,price,Vuot bien tren mien so,,POST,/api/admin/import-products,"{""products"": [{""name"": ""IMP-HUGE-PRICE-23127195"", ""price"": 1000000000000000000, ""category_id"": 1}]}","Tu choi, hoac luu dung gia tri khong bi lam tron.",HUMAN,VALID,Case do SV tu them. AI dung lai o cac gia tri tien 'hop ly'. Nhung cot price la INTEGER cua SQLite (64-bit) trong khi JSON parse ra Number cua JavaScript (an toan den 2^53); mot gia tri qua lon se bi lam tron am tham va gia san pham luu vao CSDL khac voi gia gui len - sai lech khong he nem loi.,gia tri gia da vuot khoang so nguyen an toan: expected false to be true,FAIL,BUG-A3-10
TC-A3-025,API-3,FR-16,04 - Domain Partition: category_id / description / imageUrl,category_id khong ton tai (999) -> bao loi,domain-partition,category_id,Khoa ngoai khong ton tai,,POST,/api/admin/import-products,"{""products"": [{""name"": ""IMP-BADCAT-23127195"", ""price"": 10000, ""category_id"": 999}]}","Bao loi, inserted = 0.",AI,VALID,"FR-15 quy dinh 'Danh muc: bat buoc, phai chon tu danh sach co san'. San pham gan vao danh muc ma khong ton tai se khong hien thi o bat ky trang danh muc nao - hang bien mat khoi cua hang.",expected 1 to deeply equal +0 | expected +0 to be at least 1,FAIL,BUG-A3-05
TC-A3-026,API-3,FR-16,04 - Domain Partition: category_id / description / imageUrl,category_id = 0 -> bao loi,domain-partition,category_id,Bien duoi khong hop le,,POST,/api/admin/import-products,"{""products"": [{""name"": ""IMP-CAT0-23127195"", ""price"": 10000, ""category_id"": 0}]}","Bao loi, inserted = 0.",AI,VALID,id tu tang cua SQLite bat dau tu 1 nen 0 chac chan khong hop le.,expected 1 to deeply equal +0,FAIL,BUG-A3-05
TC-A3-027,API-3,FR-16,04 - Domain Partition: category_id / description / imageUrl,category_id am -> bao loi,domain-partition,category_id,Gia tri am,,POST,/api/admin/import-products,"{""products"": [{""name"": ""IMP-CATNEG-23127195"", ""price"": 10000, ""category_id"": -1}]}","Bao loi, inserted = 0.",AI,VALID,Phan vung gia tri am.,expected 1 to deeply equal +0,FAIL,BUG-A3-05
TC-A3-028,API-3,FR-16,04 - Domain Partition: category_id / description / imageUrl,Thieu category_id -> KHONG duoc am tham gan mac dinh,domain-partition,category_id,Thieu truong bat buoc,,POST,/api/admin/import-products,"{""products"": [{""name"": ""IMP-NOCAT-23127195"", ""price"": 10000}]}",Bao loi. FR-16 liet ke category_id trong header CSV bat buoc; khong duoc thay the bang gia tri mac dinh.,HUMAN,VALID,"Case do SV tu them. AI coi 'thieu truong' la mot phan vung binh thuong va chi ky vong bao loi. Diem SV nhan ra them la: neu cai dat lang le thay bang mot gia tri mac dinh (vi du danh muc 1) thi import van bao THANH CONG trong khi toan bo lo hang bi xep sai danh muc - loi im lang, khong ai phat hien cho den khi khach hang phan anh. Vi vay ky vong phai duoc phat bieu manh hon: hoac bao loi, hoac neu chap nhan thi khong duoc gan bua danh muc.",expected 1 to deeply equal +0 | expected +0 to be at least 1,FAIL,BUG-A3-08
TC-A3-029,API-3,FR-16,04 - Domain Partition: category_id / description / imageUrl,category_id la chuoi -> bao loi hoac ep kieu tuong minh,domain-partition,category_id,Sai kieu: chuoi,,POST,/api/admin/import-products,"{""products"": [{""name"": ""IMP-CATSTR-23127195"", ""price"": 10000, ""category_id"": ""2""}]}",Neu chap nhan thi phai lien ket dung danh muc so 2.,AI,INCOMPLETE,"AI ky vong cung 'bao loi'. SV sua: giong price, du lieu tu CSV luon la chuoi nen '2' la dau vao hop ly; ky vong dung la ep kieu tuong minh ve so va lien ket dung danh muc 2, hoac tu choi.",4 assertion deu dat,PASS,
TC-A3-030,API-3,FR-16,04 - Domain Partition: category_id / description / imageUrl,Thieu description va imageUrl (truong khong bat buoc) -> van import duoc,domain-partition,description / imageUrl,Thieu truong KHONG bat buoc,,POST,/api/admin/import-products,"{""products"": [{""name"": ""IMP-NODESC-23127195"", ""price"": 10000, ""category_id"": 1}]}","200 OK, inserted = 1.",AI,VALID,"Phan biet ro truong bat buoc (name, price, category_id) voi truong tuy chon - neu he thong bat buoc ca hai truong nay thi la qua nghiem khac so voi dac ta.",4 assertion deu dat,PASS,
TC-A3-031,API-3,FR-16,04 - Domain Partition: category_id / description / imageUrl,description chua dau phay va dau nhay kep (RFC 4180) -> luu nguyen van,domain-partition,description,Chuoi chua ky tu phan cach cua CSV,,POST,/api/admin/import-products,"{""products"": [{""name"": ""IMP-RFC4180-23127195"", ""price"": 10000, ""description"": ""Mau: den, trang, xanh. Kich thuoc \""L\"", \""XL\"""", ""imageUrl"": """", ""category_id"": 1}]}",200 OK; doc lai phai giu nguyen van ca dau phay va dau nhay kep.,HUMAN,VALID,"Case do SV tu them. FR-16 yeu cau 'Ho tro cac truong co chua dau phay neu duoc boc trong dau nhay kep (RFC 4180)'. AI khong sinh case nay vi endpoint nhan JSON chu khong nhan CSV, nen tu goc do API thi dau phay khong con y nghia. Nhung day chinh la cho phai kiem: neu tang parse CSV o frontend cat sai thi du lieu den API se bi vo, va test nay la choi doi chieu de khoanh vung loi thuoc tang nao.",5 assertion deu dat,PASS,
TC-A3-032,API-3,FR-16,05 - State Transition: tinh nguyen tu cua giao dich import,[NGUYEN TU] 1 dong hop le + 1 dong THIEU NAME -> phai rollback toan bo,state-transition,products,Import mot phan (partial failure),,POST,/api/admin/import-products,"{""products"": [{""name"": ""IMP-ATOMIC-OK-23127195"", ""price"": 50000, ""description"": ""dong hop le"", ""imageUrl"": """", ""category_id"": 1}, {""price"": 70000, ""description"": ""dong thieu ten"", ""imageUrl"": """", ""category_id"": 1}]}",Khong ban ghi nao duoc ghi; inserted = 0; so san pham khong doi.,AI,VALID,"Anh xa truc tiep tu FR-16: 'Neu co loi o bat ky dong nao, toan bo import phai duoc rollback (giao dich nguyen tu - all-or-nothing)'. Day la case quan trong nhat cua API-3.",giao dich KHONG nguyen tu: dong hop le da duoc ghi trong khi dong khac loi: expected 130 to deeply equal 129 | dong hop le van nam lai trong CSDL: expected 1 to deeply equal +0,FAIL,BUG-A3-02
TC-A3-033,API-3,FR-16,05 - State Transition: tinh nguyen tu cua giao dich import,[NGUYEN TU] Dong loi nam o DAU mang -> cac dong sau khong duoc ghi,state-transition,products,Vi tri dong loi: dau mang,,POST,/api/admin/import-products,"{""products"": [{""price"": 10000, ""description"": ""dong loi o dau"", ""imageUrl"": """", ""category_id"": 1}, {""name"": ""IMP-AFTER-ERR-A-23127195"", ""price"": 20000, ""description"": """", ""imageUrl"": """", ""category_id"": 1}, {""name"": ""IMP-AFTER-ERR-B-23127195"", ""price"": 30000, ""description"": """", ""imageUrl"": """", ""ca...",Khong ban ghi nao duoc ghi.,HUMAN,VALID,"Case do SV tu them. AI chi sinh mot bien the 'co dong loi'. Nhung vi tri cua dong loi lam thay doi hoan toan hanh vi cua cac cai dat kieu 'chay tuan tu roi dung lai': neu loi o dong dau thi khong dong nao duoc ghi (trong nhu da rollback dung), con neu loi o dong cuoi thi tat ca cac dong truoc da nam trong CSDL. Chi test mot vi tri co the cho ket luan sai ve tinh nguyen tu.",cac dong sau dong loi van duoc ghi vao CSDL: expected 132 to deeply equal 130,FAIL,BUG-A3-02
TC-A3-034,API-3,FR-16,05 - State Transition: tinh nguyen tu cua giao dich import,[NGUYEN TU] Dong loi nam o CUOI mang -> cac dong truoc phai bi thu hoi,state-transition,products,Vi tri dong loi: cuoi mang,,POST,/api/admin/import-products,"{""products"": [{""name"": ""IMP-BEFORE-ERR-A-23127195"", ""price"": 20000, ""description"": """", ""imageUrl"": """", ""category_id"": 1}, {""name"": ""IMP-BEFORE-ERR-B-23127195"", ""price"": 30000, ""description"": """", ""imageUrl"": """", ""category_id"": 1}, {""price"": 40000, ""description"": ""dong loi o cuoi"", ""imageUrl"": """", ...",Khong ban ghi nao con lai trong CSDL.,HUMAN,VALID,"Case doi chung cua TC-A3-033. Day moi la vi tri bay ra loi that: cac cai dat khong dung transaction se da ghi xong hai dong dau truoc khi gap dong loi thu ba, va khong co co che nao thu hoi lai.",cac dong truoc dong loi da duoc ghi va khong duoc thu hoi: expected 2 to deeply equal +0,FAIL,BUG-A3-02
TC-A3-035,API-3,FR-16,05 - State Transition: tinh nguyen tu cua giao dich import,"[NGUYEN TU] Tat ca cac dong deu loi -> inserted = 0, CSDL khong doi",state-transition,products,Toan bo dong deu loi,,POST,/api/admin/import-products,"{""products"": [{""price"": 10000, ""category_id"": 1}, {""price"": 20000, ""category_id"": 1}]}","inserted = 0, errors co 2 phan tu, CSDL khong doi.",AI,VALID,Trang thai cuc doan cua giao dich: khong co gi duoc ghi.,5 assertion deu dat,PASS,
TC-A3-036,API-3,FR-16,05 - State Transition: tinh nguyen tu cua giao dich import,Bao cao ket qua phai NHAT QUAN voi trang thai that cua CSDL,state-transition,inserted / errors,Tinh nhat quan cua bao cao,,POST,/api/admin/import-products,"{""products"": [{""name"": ""IMP-REPORT-OK-23127195"", ""price"": 11000, ""description"": """", ""imageUrl"": """", ""category_id"": 1}, {""name"": """", ""price"": 12000, ""description"": """", ""imageUrl"": """", ""category_id"": 1}]}",So ban ghi tang them trong CSDL phai bang dung gia tri inserted trong bao cao.,HUMAN,VALID,"Case do SV tu them - day la case sac ben nhat cua nhom nay. AI kiem tra 'co bao loi khong' va 'CSDL co doi khong' nhu hai viec roi rac. Nhung dieu nguy hiem nhat la khi hai thu do MAU THUAN nhau: neu API bao 'Import hoan tat: 1/2 san pham duoc them' thi quan tri vien tin rang mot san pham da vao he thong, trong khi theo FR-16 dang le phai rollback het. Bao cao sai lam nguoi van hanh hanh dong sai. Case nay doi chieu truc tiep con so inserted voi so ban ghi thuc te tang them.",expected 1 to deeply equal +0,FAIL,BUG-A3-02
TC-A3-037,API-3,FR-16,05 - State Transition: tinh nguyen tu cua giao dich import,Bao cao loi phai neu ro so dong bi loi (FR-16),state-transition,errors,Chat luong bao cao loi,,POST,/api/admin/import-products,"{""products"": [{""name"": ""IMP-ERRMSG-OK-23127195"", ""price"": 10000, ""category_id"": 1}, {""price"": 20000, ""category_id"": 1}]}",Moi phan tu errors phai chua so dong va ly do.,AI,VALID,"FR-16: 'He thong hien thi bao cao ro rang: bao nhieu dong thanh cong, bao nhieu dong loi va ly do'. Bao loi khong kem so dong thi voi file 500 dong la vo dung.",4 assertion deu dat,PASS,
TC-A3-038,API-3,FR-16,06 - Security: FR-12 / SEC-02 / SEC-03 / SEC-05,SEC-02: goi import KHONG kem token -> 401,security,Authorization,Khong xac thuc,SEC-02,POST,/api/admin/import-products,"{""products"": [{""name"": ""IMP-NOAUTH-23127195"", ""price"": 10000, ""category_id"": 1}]}",401 Unauthorized.,AI,VALID,FR-12 yeu cau tat ca API /api/admin/* phai co JWT hop le.,3 assertion deu dat,PASS,
TC-A3-039,API-3,FR-16,06 - Security: FR-12 / SEC-02 / SEC-03 / SEC-05,SEC-02: token rac -> 403,security,Authorization,Token khong parse duoc,SEC-02,POST,/api/admin/import-products,"{""products"": [{""name"": ""IMP-BADTOKEN-23127195"", ""price"": 10000, ""category_id"": 1}]}",403 Forbidden.,AI,VALID,Phan vung token sai.,3 assertion deu dat,PASS,
TC-A3-040,API-3,FR-16,06 - Security: FR-12 / SEC-02 / SEC-03 / SEC-05,SEC-03: token cua NGUOI DUNG THUONG -> 403 (khong duoc import),security,Authorization,Xac thuc dung nhung khong du quyen,SEC-03,POST,/api/admin/import-products,"{""products"": [{""name"": ""IMP-USERROLE-23127195"", ""price"": 10000, ""description"": ""nguoi dung thuong import"", ""imageUrl"": """", ""category_id"": 1}]}",403 Forbidden; khong ban ghi nao duoc ghi.,AI,VALID,"Anh xa truc tiep tu SEC-03: 'API Admin phai kiem tra role = admin trong Token, KHONG CHI kiem tra su ton tai cua Token'. Day la case quan trong nhat cua API-3.",expected response to have status code 403 but got 200 | nguoi dung thuong da ghi duoc du lieu vao kho san pham: expected 1 to deeply equal +0,FAIL,BUG-A3-01
TC-A3-041,API-3,FR-16,06 - Security: FR-12 / SEC-02 / SEC-03 / SEC-05,SEC-03 (tac dong): san pham do nguoi dung thuong chen vao hien cong khai tren cua hang,security,-,Chuoi tac dong cua thieu kiem tra quyen,SEC-03,GET,/api/products,,Danh sach san pham cong khai khong duoc chua ban ghi do nguoi dung thuong chen.,HUMAN,VALID,"Case do SV tu them. AI dung lai o cho 'API co tra 403 khong'. Nhung muc do nghiem trong chi hien ra khi di them mot buoc: san pham do khach vang lai chen vao co hien tren trang chu cho moi nguoi mua khong. Neu co thi day khong con la loi phan quyen ma la lo hong cho phep nguoi la dang hang gia len cua hang - kem theo gia, mo ta va duong dan anh do ho kiem soat.",expected 1 to deeply equal +0,FAIL,BUG-A3-01
TC-A3-042,API-3,FR-16,06 - Security: FR-12 / SEC-02 / SEC-03 / SEC-05,SEC-02/03: JWT ky bang khoa SAI mang role=admin -> 403,security,Authorization,Token gia mao quyen admin,"SEC-02, SEC-03",POST,/api/admin/import-products,"{""products"": [{""name"": ""IMP-FORGED-23127195"", ""price"": 10000, ""category_id"": 1}]}",403 Forbidden.,HUMAN,VALID,"Case do SV tu them. Neu server chi decode payload ma khong verify chu ky thi bat ky ai cung tu phong minh lam admin. Token duoi day mang dung {id:1, role:'admin'} nhung ky bang khoa khac.",3 assertion deu dat,PASS,
TC-A3-043,API-3,FR-16,06 - Security: FR-12 / SEC-02 / SEC-03 / SEC-05,"SEC-05: payload SQL injection trong ten san pham -> luu nguyen van, khong pha CSDL",security,name,Payload SQL injection,SEC-05,POST,/api/admin/import-products,"{""products"": [{""name"": ""IMP-SQLI-23127195'); DROP TABLE categories; --"", ""price"": 10000, ""description"": """", ""imageUrl"": """", ""category_id"": 1}]}",Ten duoc luu nguyen van nhu du lieu; bang products va bang categories khong bi anh huong.,AI,VALID,SEC-05 yeu cau parameterized query. SUT dung db.prepare cho import nen day la nhanh duoc ky vong DAT - kiem thu de xac nhan chu khong phai de bat loi.,4 assertion deu dat,PASS,
TC-A3-044,API-3,FR-16,06 - Security: FR-12 / SEC-02 / SEC-03 / SEC-05,imageUrl chua duong dan javascript: -> khong duoc luu nguyen si de tra ve client,security,imageUrl,URL voi giao thuc nguy hiem,SEC-04,POST,/api/admin/import-products,"{""products"": [{""name"": ""IMP-JSURL-23127195"", ""price"": 10000, ""description"": """", ""imageUrl"": ""javascript:alert('23127195')"", ""category_id"": 1}]}","Tu choi, hoac chi cho phep http/https.",HUMAN,VALID,Case do SV tu them. imageUrl duoc do thang vao thuoc tinh src cua the img tren giao dien. Mot giao thuc javascript: hoac data: co the tro thanh vector XSS luu tru ma khong can cham vao truong name hay description. AI khong sinh case nay vi no chi kiem tra imageUrl nhu mot chuoi binh thuong.,da luu duong dan javascript: vao truong anh: expected 'javascript:alert(\'23127195\')' not to match /^\s*javascript:/i,FAIL,BUG-A3-11
TC-A3-045,API-3,FR-16,07 - Schema Validation,Schema: response thanh cong khop hop dong API,schema,-,Response thanh cong,,POST,/api/admin/import-products,"{""products"": [{""name"": ""IMP-SCHEMA-23127195"", ""price"": 10000, ""description"": """", ""imageUrl"": """", ""category_id"": 1}]}","{ message: string, inserted: number, errors: array }.",AI,VALID,Hop dong duoc suy ra tu api_specification.md muc 6.3 va tu yeu cau bao cao cua FR-16.,5 assertion deu dat,PASS,
