Test Case ID,API,FR,Nhom,Tieu de test case,Ky thuat,Tham so,Phan vung / Gia tri bien,SEC lien quan,Method,Endpoint,Du lieu gui len,Ket qua ky vong (theo dac ta),Nguon (AI/HUMAN),Nhan audit,Ly do audit / hieu chinh,Ket qua chay that (Newman),PASS/FAIL,Ma loi
TC-A1-025,API-1,FR-04,03 - Domain Partition: shipping_address,shipping_address = null -> chap nhan (xoa dia chi mac dinh),domain-partition,shipping_address,Gia tri null (xoa gia tri),,PUT,/api/users/me,"{""name"": ""Addr Tester"", ""shipping_address"": null, ""phone"": ""0912345678""}",200 OK; doc lai la null hoac chuoi rong.,AI,INCOMPLETE,"AI ky vong 400. SV sua: vi day la truong khong bat buoc, null la cach hop le de NGUOI DUNG XOA dia chi mac dinh. Ky vong dung: 200 va doc lai la null/rong.",3 assertion deu dat,PASS,
TC-A1-026,API-1,FR-04,04 - State Transition: vong doi ho so & phien,[S1] Ghi roi doc: PUT xong GET phai phan anh dung 3 truong,state-transition,-,Nhat quan ghi/doc (write-then-read),,PUT,/api/users/me,"{""name"": ""State S1"", ""shipping_address"": ""S1 Address"", ""phone"": ""0900000001""}",Ca 3 truong deu khop voi du lieu vua gui.,AI,VALID,Chuyen doi trang thai co ban cua tai nguyen ho so; khong duoc chi tin vao message tra ve.,4 assertion deu dat,PASS,
TC-A1-027,API-1,FR-04,04 - State Transition: vong doi ho so & phien,[S1 -> S2] Cap nhat lan hai phai ghi de lan mot,state-transition,-,Cap nhat lien tiep (idempotent overwrite),,PUT,/api/users/me,"{""name"": ""State S2"", ""shipping_address"": ""S2 Address"", ""phone"": ""0900000002""}",Gia tri moi thay the hoan toan gia tri cu.,AI,VALID,Chuyen doi S1 -> S2; xac nhan khong bi cache hay ghi trung.,4 assertion deu dat,PASS,
TC-A1-028,API-1,FR-04,04 - State Transition: vong doi ho so & phien,Cap nhat MOT PHAN (chi gui name) khong duoc xoa trang cac truong con lai,state-transition,-,Partial update - bao toan truong khong gui,,PUT,/api/users/me,"{""name"": ""Chi doi moi ten""}","200 OK; name doi, con shipping_address va phone giu nguyen gia tri baseline.",HUMAN,VALID,"Case do SV tu them - AI bo sot hoan toan. AI luon sinh request day du ca 3 truong theo dung vi du trong api_specification.md, nen khong bao gio cham toi tinh huong client chi gui mot truong. Day la kich ban rat thuc te (form sua ten) va SUT co nguy co ghi undefined de len phone/dia chi -> mat du lieu am tham.",phone bi xoa trang khi cap nhat mot phan: expected null to deeply equal '0912345678',FAIL,BUG-A1-05
TC-A1-029,API-1,FR-04,04 - State Transition: vong doi ho so & phien,Khong duoc doi email qua PUT /api/users/me,state-transition,email (truong bat bien),Truong chi doc,,PUT,/api/users/me,"{""name"": ""Email Immutable"", ""shipping_address"": ""227 NVC"", ""phone"": ""0912345678"", ""email"": ""hacker.23127195@evil.local""}",Email giu nguyen sau khi cap nhat (400 hoac 200 nhung bo qua truong email).,HUMAN,VALID,"Case do SV tu them. FR-04 ghi ro 'Email khong duoc phep thay doi qua giao dien'; AI khong sinh case nay vi email khong nam trong danh sach body cua api_specification.md muc 2.2 - AI chi test nhung gi CO trong spec, khong test nhung gi BI CAM.",3 assertion deu dat,PASS,
TC-A1-030,API-1,FR-04,04 - State Transition: vong doi ho so & phien,Khong duoc doi id (khoa chinh) qua PUT,state-transition,id (truong bat bien),Truong chi doc,,PUT,/api/users/me,"{""id"": 1, ""name"": ""Id Immutable"", ""shipping_address"": ""227 NVC"", ""phone"": ""0912345678""}",id giu nguyen.,HUMAN,VALID,"Case do SV tu them, cung ho voi TC-A1-029. Neu id doi duoc thi ho so se de len tai khoan khac.",3 assertion deu dat,PASS,
TC-A1-031,API-1,FR-04,04 - State Transition: vong doi ho so & phien,Cap nhat ho so KHONG duoc lam mat hieu luc token dang dung,state-transition,-,Vong doi phien sau khi doi ho so,,GET,/api/users/me,,GET /api/users/me ngay sau PUT van tra 200 voi cung token.,AI,VALID,FR-04 khong yeu cau dang nhap lai sau khi sua ho so; token phai con dung.,4 assertion deu dat,PASS,
TC-A1-032,API-1,FR-04,05 - Security: SEC-01 / SEC-02 / SEC-06,SEC-02: GET /api/users/me khong kem token -> 401,security,-,Khong xac thuc,SEC-02,GET,/api/users/me,,401 Unauthorized.,AI,VALID,SEC-02 anh xa truc tiep; api_specification.md muc 2 ghi ro yeu cau Bearer token.,4 assertion deu dat,PASS,
TC-A1-033,API-1,FR-04,05 - Security: SEC-01 / SEC-02 / SEC-06,SEC-02: PUT /api/users/me khong kem token -> 401,security,-,Khong xac thuc (thao tac ghi),SEC-02,PUT,/api/users/me,"{""name"": ""Anonymous Hacker"", ""shipping_address"": ""x"", ""phone"": ""0900000000""}",401 Unauthorized va du lieu khong bi thay doi.,AI,VALID,Thao tac ghi phai duoc bao ve it nhat ngang thao tac doc.,3 assertion deu dat,PASS,
TC-A1-034,API-1,FR-04,05 - Security: SEC-01 / SEC-02 / SEC-06,SEC-02: token sai dinh dang -> 403,security,Authorization,Token khong parse duoc,SEC-02,GET,/api/users/me,,403 Forbidden.,AI,VALID,Phan vung 'token rac' tach biet voi 'khong co token'.,3 assertion deu dat,PASS,
TC-A1-035,API-1,FR-04,05 - Security: SEC-01 / SEC-02 / SEC-06,SEC-02: JWT ky bang khoa SAI (gia mao admin) -> 403,security,Authorization,Token dung cau truc nhung chu ky sai,SEC-02,GET,/api/users/me,,403 Forbidden.,HUMAN,VALID,"Case do SV tu them. AI chi sinh 'khong token' va 'token rac'. Token dung cau truc JWT nhung ky bang khoa khac moi la phep thu THAT SU cho viec server co verify chu ky hay chi decode payload. Token duoi day chua payload {id:1, role:'admin'} - neu server chap nhan thi ke tan cong thanh admin ngay.",4 assertion deu dat,PASS,
TC-A1-036,API-1,FR-04,05 - Security: SEC-01 / SEC-02 / SEC-06,"SEC-02: JWT dung thuat toan ""none"" -> 403",security,Authorization,Tan cong alg=none,SEC-02,GET,/api/users/me,,403 Forbidden.,HUMAN,VALID,Case do SV tu them. Day la lo hong kinh dien cua cac thu vien JWT cau hinh sai; AI khong sinh vi no doi hieu biet ve cach hien thuc JWT chu khong suy ra duoc tu spec.,3 assertion deu dat,PASS,
TC-A1-037,API-1,FR-04,05 - Security: SEC-01 / SEC-02 / SEC-06,SEC-06: gui kem role=admin KHONG duoc nang quyen tai khoan,security,role (truong ngoai hop dong),Mass assignment / leo quyen,SEC-06,PUT,/api/users/me,"{""name"": ""Escalation Test"", ""shipping_address"": ""227 NVC"", ""phone"": ""0912345678"", ""role"": ""admin""}","Sau khi cap nhat, role van phai la 'user'.",AI,VALID,Anh xa truc tiep tu SEC-06: 'API cap nhat ho so khong duoc cho phep thay doi truong role tu client'. Day la case quan trong nhat cua API-1.,TAI KHOAN DA BI NANG QUYEN LEN ADMIN: expected 'admin' to deeply equal 'user',FAIL,BUG-A1-01
TC-A1-038,API-1,FR-04,05 - Security: SEC-01 / SEC-02 / SEC-06,"SEC-06 (tac dong): sau khi tu dat role=admin, token MOI khong duoc mo khoa API admin",security,role,Chuoi tac dong cua leo quyen,"SEC-03, SEC-06",POST,/api/login,"{""email"": ""{{profileEmail}}"", ""password"": ""Profile123!""}",403 Forbidden - tai khoan nguoi dung thuong khong duoc truy cap /api/admin/*.,HUMAN,VALID,Case do SV tu them. AI dung lai o cho 'role trong DB co doi khong'. Nhung muc do NGHIEM TRONG that su chi chung minh duoc khi di them mot buoc: dang nhap lai de lay JWT moi (nay mang role=admin) roi goi API admin. Case nay bien mot ghi nhan ky thuat thanh bang chung chiem quyen he thong.,"JWT moi da mang quyen admin: expected 'admin' to deeply equal 'user' | da doc duoc toan bo danh sach nguoi dung: expected 200 to be one of [ 401, 403 ]",FAIL,BUG-A1-01
TC-A1-039,API-1,FR-04,05 - Security: SEC-01 / SEC-02 / SEC-06,SEC-01: GET /api/users/me khong duoc tra mat khau,security,-,Ro ri du lieu nhay cam,SEC-01,GET,/api/users/me,,Response khong chua truong password.,AI,VALID,SEC-01 cam luu mat khau plaintext; neu API tra ve dung chuoi mat khau thi vua ro ri vua chung minh khong he bam.,"expected { Object (id, name, ...) } to not have nested property 'password' | expected '{""id"":3,""name"":""Escalation Test"",""ema…' not to match /Profile123!/i",FAIL,BUG-A1-02
TC-A1-040,API-1,FR-04,05 - Security: SEC-01 / SEC-02 / SEC-06,SEC-01: GET /api/users/me khong duoc tra reset_token,security,-,Ro ri du lieu nhay cam (OTP),"SEC-01, SEC-07",GET,/api/users/me,,"Response khong chua reset_token, login_attempts, locked_until.",HUMAN,VALID,Case do SV tu them. AI chi kiem tra password. Nhung SUT dung 'SELECT *' nen tra ve CA reset_token va login_attempts - reset_token bi lo la duong dan chiem doat tai khoan doc lap voi mat khau.,"expected { Object (id, name, ...) } to not have nested property 'reset_token' | expected { Object (id, name, ...) } to not have nested property 'login_attempts'",FAIL,BUG-A1-02
TC-A1-041,API-1,FR-04,05 - Security: SEC-01 / SEC-02 / SEC-06,IDOR: gui user_id cua nguoi khac khong duoc sua ho so nguoi do,security,user_id / id,Truy cap doi tuong truc tiep khong hop le,SEC-02,PUT,/api/users/me,"{""user_id"": 1, ""id"": 1, ""name"": ""IDOR-23127195"", ""shipping_address"": ""x"", ""phone"": ""0900000009""}",Ho so cua admin (id=1) khong bi thay doi.,AI,VALID,"Endpoint la '/me' nen dinh danh phai lay tu token, khong bao gio lay tu body.",3 assertion deu dat,PASS,
TC-A1-042,API-1,FR-04,06 - Schema Validation,Schema: GET /api/users/me khop hop dong API va KHONG co truong thua,schema,-,Response thanh cong,,GET,/api/users/me,,"Chi gom: id, name, email, role, shipping_address, phone.",HUMAN,VALID,"Case do SV tu them. AI viet schema chi liet ke cac truong MONG DOI CO. Kiem thu schema dung nghia phai kiem ca chieu nguoc lai: khong duoc co truong NGOAI hop dong (additionalProperties=false), vi day chinh la cach phat hien 'SELECT *' vo tinh lam ro ri cot nhay cam.","truong thua bi ro ri: password, login_attempts, locked_until, reset_token: expected [ 'password', 'login_attempts', …(2) ] to be empty",FAIL,BUG-A1-02
TC-A1-043,API-1,FR-04,06 - Schema Validation,Schema: PUT /api/users/me tra ve dung { message: string },schema,-,Response thanh cong,,PUT,/api/users/me,"{""name"": ""Schema Tester"", ""shipping_address"": ""227 NVC"", ""phone"": ""0912345678""}","{ ""message"": string }.",AI,VALID,Anh xa tu api_specification.md muc 2.2.,5 assertion deu dat,PASS,
TC-A1-044,API-1,FR-04,06 - Schema Validation,Schema: response loi dung dinh dang { error: string },schema,-,Response loi,,GET,/api/users/me,,"{ ""error"": string } kem Content-Type JSON.",AI,VALID,Tinh nhat quan cua dinh dang loi la mot phan hop dong API.,5 assertion deu dat,PASS,
TC-A1-045,API-1,FR-04,06 - Schema Validation,Schema: GET /api/users/me phan hoi duoi 2000ms,schema,-,Phi chuc nang - hieu nang,,GET,/api/users/me,,Khong co trong SRS. Nguong tu dat: < 2000ms tren localhost.,AI,INCOMPLETE,"AI xep nham vao nhom schema. SV giu lai nhung ghi ro day la kiem thu PHI CHUC NANG va nguong 2000ms la nguong tu dat cho moi truong local, khong co trong SRS.",4 assertion deu dat,PASS,
