Test Case ID,API,FR,Nhom,Tieu de test case,Ky thuat,Tham so,Phan vung / Gia tri bien,SEC lien quan,Method,Endpoint,Du lieu gui len,Ket qua ky vong (theo dac ta),Nguon (AI/HUMAN),Nhan audit,Ly do audit / hieu chinh,Ket qua chay that (Newman),PASS/FAIL,Ma loi
TC-A2-011,API-2,FR-09,02 - Decision Table C2: con han su dung,C2 dung: ma SAVE10 con han (2099-12-31) -> vuot qua C2,domain-partition,code,C2 = TRUE,,POST,/api/apply-coupon,"{""code"": ""SAVE10"", ""total_amount"": 500000, ""user_id"": ""{{formulaUserId}}""}",Khong bi tu choi vi ly do het han.,AI,VALID,Nhanh TRUE cua C2.,3 assertion deu dat,PASS,
TC-A2-012,API-2,FR-09,03 - Decision Table C3: nguong don hang (BVA),BVA min-1: SAVE10 voi total = 299.999 (min = 300.000) -> 400,domain-partition,total_amount,Duoi bien: min - 1,,POST,/api/apply-coupon,"{""code"": ""SAVE10"", ""total_amount"": 299999, ""user_id"": ""{{formulaUserId}}""}",400 Bad Request - chua du gia tri toi thieu.,AI,VALID,Gia tri bien duoi cua C3.,3 assertion deu dat,PASS,
TC-A2-013,API-2,FR-09,03 - Decision Table C3: nguong don hang (BVA),BVA min: SAVE10 voi total = 300.000 (= min) -> PHAI duoc chap nhan,domain-partition,total_amount,Dung bien: total == min_order_amount,,POST,/api/apply-coupon,"{""code"": ""SAVE10"", ""total_amount"": 300000, ""user_id"": ""{{formulaUserId}}""}",200 OK - FR-09 dieu kien C3 dung dau '>=' nen don bang dung nguong phai duoc ap ma.,AI,VALID,Day la case quan trong nhat cua nhom C3. FR-09 ghi ro dieu kien la '>= (lon hon hoac bang)'. Bien nay tach bach hai cach cai dat '>' va '>='.,expected response to have status code 200 but got 400 | expected undefined to deeply equal true,FAIL,BUG-A2-03
TC-A2-014,API-2,FR-09,03 - Decision Table C3: nguong don hang (BVA),BVA min+1: SAVE10 voi total = 300.001 -> 200,domain-partition,total_amount,Tren bien: min + 1,,POST,/api/apply-coupon,"{""code"": ""SAVE10"", ""total_amount"": 300001, ""user_id"": ""{{formulaUserId}}""}",200 OK.,AI,VALID,Gia tri bien tren cua C3.,4 assertion deu dat,PASS,
TC-A2-015,API-2,FR-09,03 - Decision Table C3: nguong don hang (BVA),BVA min: BIGBUY voi total = 500.000 (= min) -> PHAI duoc chap nhan,domain-partition,total_amount,Dung bien tren ma loai fixed,,POST,/api/apply-coupon,"{""code"": ""BIGBUY"", ""total_amount"": 500000, ""user_id"": ""{{formulaUserId}}""}",200 OK.,AI,VALID,"Lap lai phep thu bien tren mot ma khac loai (fixed) va nguong khac, de chung minh khiem khuyet nam o logic so sanh chung chu khong phai o du lieu cua rieng SAVE10.",expected response to have status code 200 but got 400 | expected undefined to deeply equal true,FAIL,BUG-A2-03
TC-A2-016,API-2,FR-09,03 - Decision Table C3: nguong don hang (BVA),BVA min-1: BIGBUY voi total = 499.999 -> 400,domain-partition,total_amount,Duoi bien cua ma fixed,,POST,/api/apply-coupon,"{""code"": ""BIGBUY"", ""total_amount"": 499999, ""user_id"": ""{{formulaUserId}}""}",400 Bad Request.,AI,VALID,Doi chung am tinh cua TC-A2-015.,3 assertion deu dat,PASS,
TC-A2-017,API-2,FR-09,04 - Decision Table C4: yeu cau dang nhap,C4 sai: goi apply-coupon KHONG kem JWT -> 401,security,Authorization,C4 = FALSE (chua dang nhap),SEC-02,POST,/api/apply-coupon,"{""code"": ""SAVE10"", ""total_amount"": 500000}",401 Unauthorized - khong duoc tinh giam gia cho nguoi chua dang nhap.,AI,VALID,FR-09 liet ke C4 'Da dang nhap - Nguoi dung phai co JWT Token hop le' la mot trong NAM dieu kien bat buoc. SEC-02 cung yeu cau dieu nay.,"expected [ 401, 403 ] to include 200 | expected { success: true, coupon_id: 1, …(3) } to not have nested property 'final_amount'",FAIL,BUG-A2-01
TC-A2-018,API-2,FR-09,04 - Decision Table C4: yeu cau dang nhap,C4 sai: token khong hop le -> 403,security,Authorization,Token rac,SEC-02,POST,/api/apply-coupon,"{""code"": ""SAVE10"", ""total_amount"": 500000}",403 Forbidden.,AI,VALID,Phan vung 'token sai' tach biet 'khong co token'.,"expected [ 401, 403 ] to include 200",FAIL,BUG-A2-01
TC-A2-019,API-2,FR-09,04 - Decision Table C4: yeu cau dang nhap,C4 dung: token hop le -> duoc phep tinh giam gia,security,Authorization,C4 = TRUE,SEC-02,POST,/api/apply-coupon,"{""code"": ""SAVE10"", ""total_amount"": 500000, ""user_id"": ""{{formulaUserId}}""}",200 OK.,AI,VALID,Nhanh TRUE cua C4.,3 assertion deu dat,PASS,
TC-A2-020,API-2,FR-09,04 - Decision Table C4: yeu cau dang nhap,POST /api/coupon-usage khong kem token -> 401,security,Authorization,Ghi nhan luot dung khong xac thuc,SEC-02,POST,/api/coupon-usage,"{""coupon_id"": 1}",401 Unauthorized.,AI,VALID,"Endpoint ghi nhan luot dung phai duoc bao ve, neu khong ke tan cong co the lam day bo dem luot cua nguoi khac.",3 assertion deu dat,PASS,
TC-A2-021,API-2,FR-09,05 - Decision Table C5 + State Transition: so luot / nguoi,[S0 -> ap dung lan 1] SAVE10 (max 1 luot) cho nguoi dung chua tung dung -> 200,state-transition,user_id,usage_count = 0 < max = 1,,POST,/api/apply-coupon,"{""code"": ""SAVE10"", ""total_amount"": 500000, ""user_id"": ""{{couponUserId}}""}",200 OK.,AI,VALID,Trang thai khoi tao cua vong doi 'so luot su dung theo nguoi dung'.,4 assertion deu dat,PASS,
TC-A2-023,API-2,FR-09,05 - Decision Table C5 + State Transition: so luot / nguoi,[S1 = max] C5 sai: dung SAVE10 lan 2 -> 400 het luot,state-transition,user_id,usage_count = 1 = max -> C5 = FALSE,,POST,/api/apply-coupon,"{""code"": ""SAVE10"", ""total_amount"": 500000, ""user_id"": ""{{couponUserId}}""}",400 Bad Request voi thong bao da dung het luot.,AI,VALID,Chuyen doi khong hop le: da dat gioi han luot.,4 assertion deu dat,PASS,
TC-A2-024,API-2,FR-09,05 - Decision Table C5 + State Transition: so luot / nguoi,C5: bo trong user_id de LACH kiem tra so luot -> van phai bi chan,security,user_id,Thieu dinh danh nguoi dung,SEC-02,POST,/api/apply-coupon,"{""code"": ""SAVE10"", ""total_amount"": 500000}",Khong duoc tra 200. Dinh danh nguoi dung phai lay tu JWT chu khong tu body.,HUMAN,VALID,"Case do SV tu them - AI bo sot hoan toan. AI luon gui du ba tham so theo dung vi du trong api_specification.md, nen khong bao gio thu bo bot mot tham so KHONG bat buoc. Nhung chinh user_id lai la thu quyet dinh co kiem tra C5 hay khong. Chay ngay sau TC-A2-023 (da het luot) nen neu ket qua la 200 thi C5 da bi vo hieu hoan toan chi bang cach bo mot truong.","expected [ 400, 401 ] to include 200 | expected { success: true, coupon_id: 1, …(3) } to not have nested property 'final_amount'",FAIL,BUG-A2-04
TC-A2-025,API-2,FR-09,05 - Decision Table C5 + State Transition: so luot / nguoi,C5 (IDOR): truyen user_id cua nguoi khac de muon luot -> phai bi chan,security,user_id,Dinh danh gia mao (IDOR),SEC-02,POST,/api/apply-coupon,"{""code"": ""SAVE10"", ""total_amount"": 500000, ""user_id"": ""{{formulaUserId}}""}",Khong duoc tra 200: dinh danh trong body khong khop chu the trong JWT.,HUMAN,VALID,"Case do SV tu them. AI coi user_id la mot tham so du lieu binh thuong. Nhung khi so luot duoc dem theo user_id LAY TU BODY, nguoi dung chi can doi so la muon duoc luot cua tai khoan khac - va vi dinh danh khong doi chieu voi JWT nen khong co gioi han thuc te nao ca. Gui token cua couponUser (da het luot) kem user_id cua formulaUser.","expected [ 400, 401, 403 ] to include 200 | expected { success: true, coupon_id: 1, …(3) } to not have nested property 'final_amount'",FAIL,BUG-A2-05
TC-A2-026,API-2,FR-09,05 - Decision Table C5 + State Transition: so luot / nguoi,C5: VIP100 cho phep 2 luot - lan 1 -> 200,state-transition,user_id,usage_count = 0 < max = 2,,POST,/api/apply-coupon,"{""code"": ""VIP100"", ""total_amount"": 400000, ""user_id"": ""{{couponUserId}}""}",200 OK.,AI,VALID,Ma co max_uses_per_user = 2 giup kiem chung bo dem thuc su dem chu khong phai chi kiem tra 'da dung hay chua'.,3 assertion deu dat,PASS,
TC-A2-028,API-2,FR-09,05 - Decision Table C5 + State Transition: so luot / nguoi,C5: VIP100 lan 2 (usage = 1 < max = 2) -> van 200,state-transition,user_id,usage_count = 1 < max = 2,,POST,/api/apply-coupon,"{""code"": ""VIP100"", ""total_amount"": 400000, ""user_id"": ""{{couponUserId}}""}",200 OK.,AI,VALID,Trang thai trung gian - phan biet cai dat dem dung voi cai dat chan ngay tu lan thu hai.,3 assertion deu dat,PASS,
TC-A2-030,API-2,FR-09,05 - Decision Table C5 + State Transition: so luot / nguoi,[S2 = max] C5 sai: VIP100 lan 3 -> 400 het luot,state-transition,user_id,usage_count = 2 = max -> C5 = FALSE,,POST,/api/apply-coupon,"{""code"": ""VIP100"", ""total_amount"": 400000, ""user_id"": ""{{couponUserId}}""}",400 Bad Request.,AI,VALID,Trang thai ket thuc cua vong doi so luot.,3 assertion deu dat,PASS,
TC-A2-031,API-2,FR-09,05 - Decision Table C5 + State Transition: so luot / nguoi,So luot phai dem RIENG cho tung nguoi: nguoi dung khac van dung duoc SAVE10,state-transition,user_id,Cach ly bo dem giua cac nguoi dung,,POST,/api/apply-coupon,"{""code"": ""SAVE10"", ""total_amount"": 500000, ""user_id"": ""{{formulaUserId}}""}",200 OK - formulaUser chua tung ghi nhan luot dung SAVE10 nen van phai ap duoc.,HUMAN,VALID,Case do SV tu them. AI kiem tra 'dung het luot thi bi chan' nhung khong kiem tra chieu nguoc lai: bo dem co bi tinh CHUNG toan he thong khong. Neu cai dat quen dieu kien user_id trong cau dem thi mot nguoi dung ma se khoa ma cho tat ca moi nguoi - loi nghiem trong ve nghiep vu ma khong bao gio lo ra neu chi test bang mot tai khoan.,4 assertion deu dat,PASS,
TC-A2-032,API-2,FR-09,06 - Oracle: cong thuc tinh giam gia,"percent: SAVE10 10% tren 500.000 -> discount = 50.000, final = 450.000",domain-partition,discount_value,Loai percent - gia tri tieu bieu,,POST,/api/apply-coupon,"{""code"": ""SAVE10"", ""total_amount"": 500000, ""user_id"": ""{{formulaUserId}}""}",discount_amount = 50000; final_amount = 450000.,AI,VALID,Oracle lay truc tiep tu cong thuc trong FR-09: discount = total x discount_value / 100 = 500000 x 10 / 100 = 50000.,expected -4500000 to deeply equal 50000 | expected 5000000 to deeply equal 450000,FAIL,BUG-A2-02
TC-A2-033,API-2,FR-09,06 - Oracle: cong thuc tinh giam gia,"percent: SAVE10 10% tren 1.000.000 -> discount = 100.000, final = 900.000",domain-partition,discount_value,Loai percent - gia tri thu hai de xac nhan quy luat,,POST,/api/apply-coupon,"{""code"": ""SAVE10"", ""total_amount"": 1000000, ""user_id"": ""{{formulaUserId}}""}",discount_amount = 100000; final_amount = 900000.,AI,VALID,Hai diem du lieu khac nhau moi phan biet duoc cong thuc dung voi cong thuc sai co the trung tai mot diem.,expected -9000000 to deeply equal 100000 | expected 10000000 to deeply equal 900000,FAIL,BUG-A2-02
TC-A2-034,API-2,FR-09,06 - Oracle: cong thuc tinh giam gia,fixed: BIGBUY giam 50.000 tren 600.000 -> final = 550.000,domain-partition,discount_value,Loai fixed,,POST,/api/apply-coupon,"{""code"": ""BIGBUY"", ""total_amount"": 600000, ""user_id"": ""{{formulaUserId}}""}",discount_amount = 50000; final_amount = 550000.,AI,VALID,Oracle: discount = discount_value = 50000; final = 600000 - 50000.,5 assertion deu dat,PASS,
TC-A2-035,API-2,FR-09,06 - Oracle: cong thuc tinh giam gia,fixed: VIP100 giam 100.000 tren 400.000 -> final = 300.000,domain-partition,discount_value,Loai fixed - ma thu hai,,POST,/api/apply-coupon,"{""code"": ""VIP100"", ""total_amount"": 400000, ""user_id"": ""{{formulaUserId}}""}",discount_amount = 100000; final_amount = 300000.,AI,VALID,Xac nhan loai fixed hoat dong dung tren nhieu ma khac nhau.,5 assertion deu dat,PASS,
TC-A2-036,API-2,FR-09,06 - Oracle: cong thuc tinh giam gia,"Bat bien: 0 <= discount_amount <= total_amount (khong bao gio am, khong vuot don)",domain-partition,discount_amount,Bat bien nghiep vu,,POST,/api/apply-coupon,"{""code"": ""SAVE10"", ""total_amount"": 500000, ""user_id"": ""{{formulaUserId}}""}",0 <= discount_amount <= total_amount va final_amount <= total_amount.,HUMAN,VALID,"Case do SV tu them. AI viet oracle theo tung gia tri cu the ('phai bang 50000'). Kiem tra theo BAT BIEN manh hon vi no bat duoc moi cach tinh sai, ke ca cach tinh sai ma sinh vien chua nghi ra gia tri doi chung. O day bat bien bat ngay ra dieu vo ly nhat: giam gia AM nghia la khach phai tra NHIEU HON gia goc.",giam gia am -> khach phai tra nhieu hon gia goc: expected -4500000 to be at least +0 | final_amount > total_amount: expected 5000000 to be at most 500000,FAIL,BUG-A2-02
TC-A2-037,API-2,FR-09,06 - Oracle: cong thuc tinh giam gia,Bat bien: final_amount = total_amount - discount_amount (nhat quan noi tai),domain-partition,final_amount,Bat bien nghiep vu,,POST,/api/apply-coupon,"{""code"": ""BIGBUY"", ""total_amount"": 700000, ""user_id"": ""{{formulaUserId}}""}",final_amount + discount_amount == total_amount.,HUMAN,VALID,"Case do SV tu them. Kiem tra quan he giua hai truong trong CUNG mot response, khong phu thuoc vao viec cong thuc giam gia dung hay sai. Neu case nay fail thi loi nam o cho khac han: hai truong duoc tinh boi hai duong dan code khac nhau.",4 assertion deu dat,PASS,
TC-A2-038,API-2,FR-09,07 - Domain Partition: total_amount,total_amount = 0 -> 400,domain-partition,total_amount,Bien duoi: bang 0,,POST,/api/apply-coupon,"{""code"": ""SAVE10"", ""total_amount"": 0, ""user_id"": ""{{formulaUserId}}""}",400 Bad Request.,AI,VALID,Don hang gia tri 0 khong hop le ve nghiep vu.,3 assertion deu dat,PASS,
TC-A2-039,API-2,FR-09,07 - Domain Partition: total_amount,total_amount am -> 400,domain-partition,total_amount,Gia tri am,,POST,/api/apply-coupon,"{""code"": ""SAVE10"", ""total_amount"": -500000, ""user_id"": ""{{formulaUserId}}""}",400 Bad Request.,AI,VALID,Gia tri am vo nghia ve nghiep vu va co the bi loi dung de sinh tien.,3 assertion deu dat,PASS,
TC-A2-040,API-2,FR-09,07 - Domain Partition: total_amount,thieu truong total_amount -> 400,domain-partition,total_amount,Thieu truong bat buoc,,POST,/api/apply-coupon,"{""code"": ""SAVE10"", ""user_id"": ""{{formulaUserId}}""}",400 Bad Request.,AI,VALID,Phan vung thieu tham so.,3 assertion deu dat,PASS,
TC-A2-041,API-2,FR-09,07 - Domain Partition: total_amount,total_amount = null -> 400,domain-partition,total_amount,Gia tri null,,POST,/api/apply-coupon,"{""code"": ""SAVE10"", ""total_amount"": null, ""user_id"": ""{{formulaUserId}}""}",400 Bad Request.,AI,VALID,Phan vung null.,3 assertion deu dat,PASS,
TC-A2-042,API-2,FR-09,07 - Domain Partition: total_amount,total_amount la chuoi khong phai so -> 400,domain-partition,total_amount,Sai kieu: chuoi khong so hoa duoc,,POST,/api/apply-coupon,"{""code"": ""SAVE10"", ""total_amount"": ""nam-tram-nghin"", ""user_id"": ""{{formulaUserId}}""}",400 Bad Request.,AI,VALID,Phan vung sai kieu; neu he thong so sanh chuoi voi so se cho ket qua khong luong truoc.,3 assertion deu dat,PASS,
TC-A2-043,API-2,FR-09,07 - Domain Partition: total_amount,"total_amount la chuoi so ""500000"" -> phai xu ly nhat quan",domain-partition,total_amount,Sai kieu: chuoi so hoa duoc,,POST,/api/apply-coupon,"{""code"": ""SAVE10"", ""total_amount"": ""90000"", ""user_id"": ""{{formulaUserId}}""}","Hoac tu choi (400), hoac ep kieu ve so mot cach tuong minh - khong duoc so sanh tu dien.",HUMAN,VALID,"Case do SV tu them. Day la vung xam nguy hiem nhat cua JavaScript: chuoi '500000' so sanh voi so 300000 se ep kieu, nhung '90000' > '300000' lai la SAI (so sanh tu dien). Nghia la mot don 90.000 co the vuot qua nguong 300.000 chi vi client gui kieu chuoi. AI khong sinh case nay vi no doi hieu biet ve ngu nghia ep kieu cua JavaScript chu khong suy ra tu spec.",3 assertion deu dat,PASS,
TC-A2-044,API-2,FR-09,07 - Domain Partition: total_amount,"total_amount cuc lon (1e15) -> khong tran so, khong 5xx",domain-partition,total_amount,Vuot bien tren mien so,,POST,/api/apply-coupon,"{""code"": ""SAVE10"", ""total_amount"": 1000000000000000, ""user_id"": ""{{formulaUserId}}""}",Khong 5xx; neu chap nhan thi ket qua phai la so nguyen an toan.,HUMAN,VALID,"Case do SV tu them. AI dung lai o cac gia tri 'thuc te'. Voi ma percent, mot tong don cuc lon se lam ket qua vuot Number.MAX_SAFE_INTEGER va sinh ra so tien sai lech am tham - loi khong bao gio nem exception nen khong test se khong bao gio biet.",final_amount vuot khoang so nguyen an toan: expected false to be true,FAIL,BUG-A2-08
TC-A2-045,API-2,FR-09,07 - Domain Partition: total_amount,"total_amount thap phan (300000.5) -> xu ly nhat quan, khong 5xx",domain-partition,total_amount,So thuc thay vi so nguyen,,POST,/api/apply-coupon,"{""code"": ""SAVE10"", ""total_amount"": 300000.5, ""user_id"": ""{{formulaUserId}}""}",Khong 5xx.,AI,INCOMPLETE,AI ky vong cung 400. SV sua: SRS khong cam so thap phan (don vi tien VND thuong la so nguyen nhung khong duoc phat bieu). Ky vong dung: khong 5xx va neu chap nhan thi final_amount phai nhat quan voi total_amount.,3 assertion deu dat,PASS,
TC-A2-046,API-2,FR-09,08 - Security: SEC-05 / ro ri thong tin,SEC-05: SQL Injection qua truong code,security,code,Payload SQL injection,SEC-05,POST,/api/apply-coupon,"{""code"": ""' OR '1'='1' --"", ""total_amount"": 500000, ""user_id"": ""{{formulaUserId}}""}",404 hoac 400; khong ro ri thong bao loi cua tang CSDL; khong tra ket qua giam gia.,AI,VALID,SEC-05 yeu cau parameterized query. Neu code duoc noi chuoi thi payload nay lam lo ngay bang thong bao loi cua SQLite.,5 assertion deu dat,PASS,
TC-A2-047,API-2,FR-09,08 - Security: SEC-05 / ro ri thong tin,SEC-05: SQL Injection qua truong user_id,security,user_id,Payload SQL injection,SEC-05,POST,/api/apply-coupon,"{""code"": ""SAVE10"", ""total_amount"": 500000, ""user_id"": ""1 OR 1=1""}",Khong 5xx; khong ro ri loi SQL.,AI,VALID,user_id di thang vao cau dem so luot su dung - day la diem noi chuoi tiem nang thu hai cua endpoint.,4 assertion deu dat,PASS,
TC-A2-048,API-2,FR-09,08 - Security: SEC-05 / ro ri thong tin,Thong bao loi khong duoc ro ri cau hinh noi bo cua ma giam gia,security,-,Ro ri thong tin qua thong bao loi,,POST,/api/apply-coupon,"{""code"": ""SAVE10"", ""total_amount"": 100000, ""user_id"": ""{{formulaUserId}}""}",Thong bao loi khong duoc chua ten cot CSDL hay du lieu cua nguoi dung khac.,HUMAN,INCOMPLETE,"Case do SV tu them nhung ban than SV cung danh gia la muc do rat thap. Thong bao 'chua du 300.000 d' co lo nguong cua ma, nhung nguong nay von duoc quang cao cong khai nen khong phai bi mat. Giu lai de ghi nhan da can nhac, ky vong chi la khong lo cac truong khong cong khai (id noi bo, so luot con lai cua nguoi khac).",4 assertion deu dat,PASS,
TC-A2-049,API-2,FR-09,09 - Schema Validation,Schema: response thanh cong khop hop dong API,schema,-,Response thanh cong,,POST,/api/apply-coupon,"{""code"": ""BIGBUY"", ""total_amount"": 600000, ""user_id"": ""{{formulaUserId}}""}","{ success: bool, coupon_id: number, discount_amount: number, final_amount: number, message: string }.",AI,VALID,api_specification.md muc 5.1 quy dinh response chua discount_amount va final_amount.,5 assertion deu dat,PASS,
TC-A2-050,API-2,FR-09,09 - Schema Validation,"Schema: discount_amount va final_amount phai la kieu SO, khong phai chuoi",schema,-,Kieu du lieu cua truong tien,,POST,/api/apply-coupon,"{""code"": ""VIP100"", ""total_amount"": 400000, ""user_id"": ""{{formulaUserId}}""}",Ca hai truong deu la number.,AI,VALID,Truong tien tra ve duoi dang chuoi la loi kinh dien lam client tinh sai (noi chuoi thay vi cong so).,5 assertion deu dat,PASS,
TC-A2-051,API-2,FR-09,09 - Schema Validation,Schema: response loi khop dinh dang { error: string },schema,-,Response loi,,POST,/api/apply-coupon,"{""code"": ""KHONGTONTAI23127195"", ""total_amount"": 500000, ""user_id"": ""{{formulaUserId}}""}",{ error: string } kem Content-Type JSON.,AI,VALID,Tinh nhat quan cua dinh dang loi.,5 assertion deu dat,PASS,
TC-A2-052,API-2,FR-09,09 - Schema Validation,Schema: response khong duoc ro ri toan bo ban ghi coupon,schema,-,Truong ngoai hop dong,,POST,/api/apply-coupon,"{""code"": ""BIGBUY"", ""total_amount"": 600000, ""user_id"": ""{{formulaUserId}}""}","Chi cac truong trong hop dong; khong co is_active, max_uses_per_user, min_order_amount, expired_at.",HUMAN,VALID,"Case do SV tu them, cung nguyen tac voi TC-A1-042: schema phai kiem ca chieu 'khong co truong thua'. Neu cai dat lo tay tra ca doi tuong coupon thi client se nhin thay is_active, max_uses_per_user va toan bo cau hinh khuyen mai.",6 assertion deu dat,PASS,
TC-A2-053,API-2,FR-09,09 - Schema Validation,Schema: apply-coupon phan hoi duoi 2000ms,schema,-,Phi chuc nang - hieu nang,,POST,/api/apply-coupon,"{""code"": ""SAVE10"", ""total_amount"": 500000, ""user_id"": ""{{formulaUserId}}""}",Khong co trong SRS. Nguong tu dat: < 2000ms.,AI,INCOMPLETE,"AI xep nham vao nhom schema. SV giu lai va ghi ro day la kiem thu phi chuc nang, nguong tu dat cho moi truong local.",3 assertion deu dat,PASS,
